Gender,Customer Type,Type of Travel,Class,Age,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Satisfaction
Male,Loyal Customer,Business travel,Business,56,1099,27,54,5,3,3,4,3,3,1,3,5,4,5,3,5,0
Female,Loyal Customer,Business travel,Business,26,1797,10,21,3,2,4,3,3,4,4,3,3,4,5,4,5,1
Female,Disloyal Customer,Personal Travel,Business,30,547,12,17,2,2,2,3,2,3,4,2,3,3,4,4,3,0
Female,Loyal Customer,Business travel,Business,39,80,4,10,4,3,3,3,5,3,4,4,3,3,3,3,3,0
Male,Loyal Customer,Personal Travel,Eco,42,1257,18,36,2,4,3,2,4,3,4,4,4,5,4,3,4,1
Male,Loyal Customer,Personal Travel,Business,31,514,1,0,0,3,2,4,5,4,3,5,4,5,3,3,5,1
Male,Loyal Customer,Personal Travel,Eco Plus,40,763,9,7,4,5,2,5,5,2,3,4,4,4,4,3,4,0
Male,Loyal Customer,Personal Travel,Eco,46,80,12,0,2,3,3,2,3,2,3,4,4,5,0,5,2,1
Male,Loyal Customer,Business travel,Eco Plus,63,450,10,16,3,3,2,4,3,2,4,4,3,4,2,4,5,0
Male,Loyal Customer,Business travel,Eco,37,149,8,16,2,3,2,3,2,4,4,0,4,4,3,5,1,1
Male,Disloyal Customer,Personal Travel,Eco,39,683,7,0,4,4,3,4,0,3,4,4,3,5,4,4,4,0
Female,Disloyal Customer,Business travel,Eco,57,703,8,22,2,3,3,2,4,3,4,4,4,3,5,3,5,0
Male,Loyal Customer,Personal Travel,Eco,32,945,3,0,0,3,1,3,2,3,4,4,2,4,3,3,5,1
Female,Loyal Customer,Business travel,Eco,23,1520,10,7,3,3,3,3,3,3,3,3,4,4,3,5,2,0
Female,Loyal Customer,Business travel,Business,42,1238,4,5,3,3,2,4,4,2,5,4,2,4,3,5,5,0
Male,Loyal Customer,Personal Travel,Eco Plus,52,89,5,21,4,4,0,3,5,5,3,4,2,5,3,4,5,1
Female,Disloyal Customer,Personal Travel,Eco,43,1204,3,0,4,3,4,3,3,3,4,3,2,4,3,4,5,0
Male,Loyal Customer,Personal Travel,Eco,38,956,44,47,5,5,3,3,4,5,3,4,3,4,5,3,4,0
Female,Loyal Customer,Personal Travel,Eco,22,851,9,17,3,4,4,5,5,2,4,4,5,4,4,2,4,1
Male,Loyal Customer,Business travel,Eco,38,889,2,8,3,4,3,3,2,4,3,3,3,4,5,4,3,1
Female,Loyal Customer,Personal Travel,Business,54,1002,9,15,3,4,4,4,5,2,5,3,3,3,3,3,5,1
Male,Disloyal Customer,Personal Travel,Eco,24,554,18,26,4,0,4,4,4,5,3,4,4,4,4,3,5,0
Male,Disloyal Customer,Personal Travel,Eco Plus,36,809,10,4,3,3,3,4,5,2,4,4,3,4,3,3,4,0
Male,Loyal Customer,Business travel,Eco Plus,34,1492,8,25,3,3,2,2,5,5,3,4,3,4,5,4,5,1
Female,Loyal Customer,Personal Travel,Eco Plus,31,548,4,3,3,4,3,4,3,3,3,3,3,3,4,3,5,1
Female,Disloyal Customer,Business travel,Business,42,385,10,8,4,3,2,4,4,3,3,0,5,4,4,4,4,0
Male,Loyal Customer,Business travel,Eco,44,869,13,26,4,4,2,2,2,4,4,5,3,4,5,4,2,1
Male,Disloyal Customer,Personal Travel,Business,44,335,14,8,4,5,3,3,3,3,3,4,4,4,5,4,4,0
Male,Disloyal Customer,Personal Travel,Eco Plus,27,80,9,12,3,3,1,5,4,4,3,4,3,3,3,2,1,0
Female,Loyal Customer,Personal Travel,Eco Plus,19,728,9,2,3,5,2,3,0,4,3,3,2,4,4,2,5,0
Male,Disloyal Customer,Personal Travel,Eco Plus,42,1624,20,45,4,3,2,3,5,3,4,4,4,5,5,3,5,1
Male,Loyal Customer,Business travel,Business,33,881,18,41,3,5,3,4,5,4,3,3,4,3,3,5,4,0
Female,Disloyal Customer,Business travel,Business,61,989,7,6,4,4,2,3,3,5,3,4,4,5,4,5,5,1
Female,Loyal Customer,Personal Travel,Eco,62,80,25,30,3,4,2,3,5,4,2,5,3,4,4,3,3,0
Male,Loyal Customer,Personal Travel,Business,63,1119,2,2,4,3,3,3,4,3,4,4,3,4,5,3,5,1
Female,Loyal Customer,Personal Travel,Eco Plus,28,947,9,6,4,3,2,4,3,4,4,3,2,0,4,5,4,0
Male,Loyal Customer,Personal Travel,Eco,46,568,10,11,5,3,3,3,4,3,4,4,3,4,3,3,4,0
Female,Loyal Customer,Business travel,Business,49,990,4,4,4,4,2,5,4,0,3,4,2,5,2,4,4,1
Male,Loyal Customer,Business travel,Eco,48,985,2,0,4,3,2,3,3,4,3,3,3,4,4,4,4,0
Female,Loyal Customer,Business travel,Eco Plus,35,370,4,7,3,4,5,3,3,2,3,2,4,4,4,3,4,0
Female,Loyal Customer,Personal Travel,Eco,54,1066,15,15,4,2,2,4,3,3,3,4,3,5,5,3,3,0
Female,Loyal Customer,Personal Travel,Eco,39,1499,16,19,3,4,1,2,0,4,3,5,3,4,4,4,3,0
Male,Disloyal Customer,Personal Travel,Business,41,786,13,12,2,5,3,5,3,5,3,3,3,4,3,3,5,0
Female,Disloyal Customer,Business travel,Eco,21,466,4,0,3,4,2,2,5,4,2,3,3,4,3,2,4,1
Male,Loyal Customer,Business travel,Eco,47,811,16,25,4,4,3,4,2,2,0,0,4,4,4,3,3,1
Male,Loyal Customer,Business travel,Eco,36,1327,5,10,3,5,3,5,4,2,3,3,2,4,4,4,4,1
Female,Disloyal Customer,Personal Travel,Eco,45,287,10,24,3,3,3,3,4,5,4,2,1,3,4,3,4,1
Male,Disloyal Customer,Personal Travel,Business,42,1189,8,13,3,4,3,3,3,3,3,3,3,5,3,4,3,1
Female,Loyal Customer,Business travel,Business,41,561,6,4,3,2,3,3,4,0,3,5,5,4,1,3,4,1
Female,Disloyal Customer,Personal Travel,Eco,38,1021,12,18,5,3,4,4,3,2,3,3,3,4,3,5,4,1
Male,Loyal Customer,Personal Travel,Eco Plus,48,618,14,0,2,5,1,2,4,4,5,3,4,4,2,4,5,1
Female,Loyal Customer,Personal Travel,Eco,37,616,4,25,5,3,2,3,4,4,3,3,3,4,3,4,4,0
Male,Disloyal Customer,Business travel,Eco Plus,22,1662,8,11,3,2,2,3,4,4,2,3,4,3,4,3,3,0
Male,Disloyal Customer,Personal Travel,Eco,46,195,14,36,4,4,1,2,3,3,3,3,3,4,5,4,3,1
Male,Disloyal Customer,Business travel,Eco,29,1143,0,0,4,4,2,2,2,2,5,3,3,4,1,2,4,0
Female,Loyal Customer,Personal Travel,Eco,23,1766,11,0,2,4,2,3,4,2,5,2,5,4,3,4,2,0
Male,Loyal Customer,Personal Travel,Eco Plus,27,1243,14,18,3,3,4,3,3,3,4,3,4,4,4,5,3,1
Male,Loyal Customer,Personal Travel,Eco,42,234,11,15,3,3,3,3,3,4,4,4,3,4,3,5,4,0
Male,Loyal Customer,Personal Travel,Eco,38,259,11,14,4,3,3,3,4,2,4,4,3,4,4,2,4,0
Female,Loyal Customer,Business travel,Business,18,524,7,9,2,4,0,3,3,4,3,4,3,4,4,4,5,1
Female,Loyal Customer,Business travel,Eco Plus,34,979,13,7,3,4,2,4,4,2,4,3,2,5,3,4,3,0
Female,Loyal Customer,Business travel,Eco,53,1013,3,0,4,4,4,3,5,2,4,3,3,4,5,5,3,1
Female,Disloyal Customer,Business travel,Business,34,264,4,7,4,3,4,4,4,3,4,4,3,5,5,3,4,1
Female,Loyal Customer,Business travel,Business,37,464,11,0,4,4,2,2,5,4,3,4,0,5,3,5,4,1
Male,Loyal Customer,Personal Travel,Eco,52,494,13,0,3,4,4,3,4,5,3,3,4,4,5,4,3,1
Male,Disloyal Customer,Business travel,Eco Plus,49,810,18,14,2,3,2,4,4,2,3,3,2,4,5,3,3,1
Female,Loyal Customer,Personal Travel,Eco,51,1892,23,27,4,4,2,3,4,5,4,4,2,4,5,2,4,1
Female,Disloyal Customer,Business travel,Eco Plus,18,433,4,24,5,3,3,3,4,4,4,3,4,3,3,4,4,1
Male,Loyal Customer,Personal Travel,Eco,60,412,3,13,0,4,3,3,5,0,4,3,5,4,3,4,4,1
Male,Loyal Customer,Business travel,Eco Plus,47,333,15,29,2,4,3,4,4,4,4,4,4,4,0,3,3,0
Female,Disloyal Customer,Personal Travel,Eco,69,1218,6,13,3,4,2,2,3,5,2,4,3,4,3,4,5,0
Male,Loyal Customer,Personal Travel,Eco,30,879,8,12,4,2,4,4,2,2,4,3,2,4,3,4,4,0
Female,Disloyal Customer,Personal Travel,Business,18,452,14,39,3,3,2,3,4,3,3,3,3,3,4,4,5,1
Male,Disloyal Customer,Personal Travel,Eco,39,719,9,0,5,3,3,3,3,3,0,4,4,0,3,3,4,1
Male,Loyal Customer,Personal Travel,Business,36,504,13,9,4,3,4,3,4,4,3,2,4,4,4,4,4,0
Female,Disloyal Customer,Personal Travel,Business,47,1048,4,1,4,3,2,3,5,5,3,3,2,5,4,5,4,1
Male,Disloyal Customer,Personal Travel,Business,52,2242,10,19,2,4,2,5,4,3,3,4,4,3,3,3,4,0
Male,Disloyal Customer,Personal Travel,Eco,38,1175,10,0,3,4,4,4,5,3,2,3,5,4,4,2,4,0
Female,Loyal Customer,Personal Travel,Business,36,854,17,25,3,3,3,2,4,4,2,3,4,5,3,3,4,1
Female,Loyal Customer,Business travel,Eco,45,568,20,26,3,4,4,3,4,3,3,5,4,4,4,3,4,1
Male,Disloyal Customer,Personal Travel,Eco,36,228,5,13,4,4,2,2,4,1,4,4,4,5,3,2,4,1
Male,Loyal Customer,Personal Travel,Business,35,1267,3,11,4,4,3,1,3,4,4,4,2,4,3,4,5,1
Female,Loyal Customer,Personal Travel,Eco Plus,51,1240,14,29,2,5,3,2,3,4,4,3,3,4,5,3,3,1
Female,Loyal Customer,Personal Travel,Eco,54,667,2,2,4,3,5,3,2,4,3,3,5,5,2,3,5,1
Male,Loyal Customer,Personal Travel,Eco,52,1507,14,19,0,4,4,4,3,2,3,4,3,4,4,5,4,0
Male,Loyal Customer,Personal Travel,Business,37,911,15,8,4,0,3,4,5,4,3,4,2,3,3,5,4,1
Male,Loyal Customer,Personal Travel,Eco Plus,18,1287,5,0,4,3,3,2,2,5,4,5,4,4,2,5,5,0
Male,Loyal Customer,Personal Travel,Eco,37,1048,0,18,3,2,3,2,3,5,5,4,4,4,3,2,5,0
Male,Loyal Customer,Personal Travel,Business,30,811,16,8,5,3,3,2,3,4,3,5,3,4,4,4,4,1
Female,Disloyal Customer,Personal Travel,Eco,37,423,21,27,3,4,2,1,3,4,3,5,4,4,5,3,4,0
Male,Loyal Customer,Personal Travel,Eco,31,827,20,25,5,3,4,3,4,3,3,5,3,4,5,4,2,0
Male,Loyal Customer,Business travel,Eco Plus,39,1321,21,33,3,3,2,4,3,2,3,4,3,0,3,4,3,0
Female,Loyal Customer,Personal Travel,Business,27,646,2,0,5,3,3,3,4,4,3,5,2,4,4,2,4,1
Female,Loyal Customer,Business travel,Eco,24,1120,8,17,3,5,2,2,3,2,3,4,2,4,3,4,4,1
Male,Disloyal Customer,Personal Travel,Eco,54,359,10,9,5,3,3,2,3,4,3,0,5,4,3,4,4,0
Female,Disloyal Customer,Personal Travel,Eco,27,1290,9,3,3,2,4,3,4,5,4,4,0,4,5,4,4,1
Female,Loyal Customer,Personal Travel,Business,39,1056,13,10,4,3,1,4,4,0,5,4,3,5,4,3,4,0
Female,Loyal Customer,Personal Travel,Eco,50,299,3,13,3,4,3,3,5,4,3,4,3,4,4,5,4,1
Male,Loyal Customer,Personal Travel,Eco,50,788,2,9,4,4,2,4,4,3,5,4,4,3,2,4,5,1
Male,Loyal Customer,Business travel,Business,49,1366,1,0,3,4,3,3,4,3,3,3,1,5,3,4,4,1
Female,Loyal Customer,Business travel,Eco,43,270,16,5,3,4,2,3,2,5,3,3,3,4,3,5,4,0
Male,Loyal Customer,Personal Travel,Eco Plus,48,365,2,0,1,4,3,2,4,5,4,4,3,4,4,4,4,1
Male,Loyal Customer,Personal Travel,Eco,55,865,9,17,5,3,2,3,2,4,2,4,4,4,4,3,5,1
Male,Loyal Customer,Business travel,Business,44,1967,5,0,4,5,3,2,4,3,4,4,3,0,5,5,4,0
Female,Loyal Customer,Personal Travel,Eco,18,564,5,4,0,1,4,4,4,3,4,2,2,4,0,4,5,0
Female,Loyal Customer,Personal Travel,Eco,33,1148,7,34,4,4,3,3,5,4,3,4,3,4,5,5,5,1
Male,Loyal Customer,Business travel,Eco,47,1030,5,10,4,4,4,0,3,3,3,4,3,0,3,4,5,0
Female,Loyal Customer,Personal Travel,Eco Plus,31,605,2,9,3,5,4,4,4,3,3,4,4,4,4,5,4,0
Male,Loyal Customer,Personal Travel,Eco Plus,58,981,7,0,3,2,2,4,4,4,4,0,3,4,4,4,4,1
Female,Loyal Customer,Personal Travel,Eco,38,676,4,0,3,0,4,2,3,4,3,5,5,4,4,3,4,1
Female,Loyal Customer,Personal Travel,Eco,40,721,4,12,5,2,3,4,4,5,4,5,3,3,4,0,4,0
Male,Loyal Customer,Personal Travel,Business,52,80,25,22,4,2,2,3,4,2,3,4,3,4,5,3,4,0
Male,Disloyal Customer,Business travel,Eco,37,888,2,14,5,3,3,1,4,3,3,4,3,4,3,3,5,1
Male,Disloyal Customer,Personal Travel,Eco,41,1350,7,8,5,4,3,5,5,5,4,5,3,4,0,5,4,0
Female,Loyal Customer,Personal Travel,Eco Plus,50,929,9,45,3,5,2,3,4,4,4,5,4,5,3,3,3,0
Female,Loyal Customer,Personal Travel,Eco,21,1445,25,20,2,3,2,3,2,3,3,5,3,3,4,5,4,1
